Time,Vm,Cai
289.66,-73.8173276871114,7.76588462859078e-05
290.66,-73.8074451957061,7.75373133212079e-05
291.66,-73.7975075149437,7.74167795386619e-05
292.66,-73.7875141186049,7.72972387746998e-05
293.66,-73.777464472684,7.71786849324293e-05
294.66,-73.7673580352035,7.70611119811405e-05
295.66,-73.757194256022,7.69445139558189e-05
296.66,-73.7469725766391,7.68288849566704e-05
297.66,-73.7366924299947,7.67142191486546e-05
298.66,-73.7263532402632,7.6600510761029e-05
299.66,-73.7159544226427,7.64877540869032e-05
300.66,-73.7054953831392,7.63759434828029e-05
301.66,-73.6949755183447,7.62650733682442e-05
302.66,-73.6843942152103,7.61551382253177e-05
303.66,-73.6737508508127,7.60461325982836e-05
304.66,-73.6630447921151,7.59380510931756e-05
305.66,-73.6522753957223,7.58308883774164e-05
306.66,-73.6414420076281,7.57246391794426e-05
307.66,-73.6305439629574,7.561929828834e-05
308.66,-73.6195805857008,7.55148605534898e-05
309.66,-73.6085511884416,7.54113208842246e-05
310.66,-73.5974550720767,7.53086742494953e-05
311.66,-73.5862915255288,7.52069156775483e-05
312.66,-73.5750598254512,7.51060402556135e-05
313.66,-73.5637592359246,7.50060431296028e-05
314.66,-73.5523890081452,7.49069195038197e-05
315.66,-73.5409483801047,7.48086646406798e-05
316.66,-73.5294365762605,7.47112738604416e-05
317.66,-73.5178528071973,7.46147425409496e-05
318.66,-73.5061962692789,7.45190661173872e-05
319.66,-73.4944661442901,7.44242400820422e-05
320.66,-73.4826615990682,7.43302599840831e-05
321.66,-73.4707817851239,7.42371214293469e-05
322.66,-73.4588258382514,7.41448200801389e-05
323.66,-73.4467928781269,7.40533516550443e-05
324.66,-73.4346820078951,7.39627119287518e-05
325.66,-73.422492313744,7.38728967318897e-05
326.66,-73.4102228644663,7.37839019508735e-05
327.66,-73.3978727110086,7.36957235277674e-05
328.66,-73.3854408860057,7.36083574601572e-05
329.66,-73.3729264033024,7.35217998010374e-05
330.66,-73.360328257459,7.34360466587103e-05
331.66,-73.3476454232427,7.33510941966996e-05
332.66,-73.3348768551031,7.32669386336769e-05
333.66,-73.3220214866309,7.31835762434027e-05
334.66,-73.30907823,7.31010033546806e-05
335.66,-73.2960459753921,7.30192163513276e-05
336.66,-73.2829235904026,7.29382116721572e-05
337.66,-73.2697099194281,7.28579858109792e-05
338.66,-73.2564037830333,7.27785353166137e-05
339.66,-73.2430039772989,7.26998567929218e-05
340.66,-73.2295092731463,7.26219468988514e-05
341.66,-73.2159184156421,7.25448023485005e-05
342.66,-73.202230123278,7.24684199111961e-05
343.66,-73.1884430872282,7.23927964115917e-05
344.66,-73.1745559705806,7.23179287297813e-05
345.66,-73.1605674075436,7.22438138014321e-05
346.66,-73.1464760026245,7.21704486179361e-05
347.66,-73.1322803297811,7.20978302265797e-05
348.66,-73.1179789315437,7.20259557307343e-05
349.66,-73.1035703181066,7.19548222900661e-05
